product_name,category,fits,specs,starlink_ug_store_ugx,plus_30pct_exact_ugx,shelf_price_ugx
Router Mini,Router,"Standard 4, Standard 4 X, Mini, Gen 2 kits (not Gen 1)","Wi-Fi 6, dual-band; coverage up to 112 m² (1,200 ft²); 1 latching Ethernet LAN port (Starlink Plug); 137 × 84 × 25 mm; removable stand doubles as a wall mount; separate power supply 100–240 V; works as the primary router or as a mesh node with Router 3, Gen 2 and Mini routers. The router shipped in the Standard 4 kit.",231481,300925.30,301000
Roof Rack Mount | Standard 4 or 4 X,Mount,"Standard 4, Standard 4 X, Enterprise","Clamps to vehicle roof-rack crossbars 15–44.5 mm thick and up to 95 mm wide, or to T-slot racks; quick to detach when not in use; for use while parked.",346667,450667.10,451000
Standard 4 or 4 X to Standard Actuated Mount Adapter,Adapter,Standard 4 / 4 X dish onto an existing Standard Actuated (Gen 2) mount,"Lets a new Standard 4 / 4 X dish use a mount already installed for the older Standard Actuated dish, without replacing the mount: Short Wall Mount, Long Wall Mount, Pivot Mount, Ground Pole Mount, Ridgeline Mount. Mast and hardware included. For customers upgrading a Gen 2 dish.",173333,225332.90,226000
"X-Frame Base | Standard 4 or 4 X, Enterprise",Mount,"Standard 4, Standard 4 X, Enterprise","Folding X-shaped base for a ground-level installation or a quick set-up, holding the dish slightly off the ground; no drilling.",289333,376132.90,377000
Ridgeline Mount | Standard 4 or 4 X,Mount,"Standard 4, Standard 4 X","Non-penetrating roof mount: adjustable legs straddle the roof ridge or lie flat on a flat roof, no holes drilled; held down by four ballast weights of about 5 kg each (kit also has cable routing clips); rated to 80 km/h wind; for shingle and metal roofs, not recommended for clay tile. Heavy to ship.",1446667,1880667.10,1881000
Router 3 Mount,Mount,Router 3,Bracket to fix the Router 3 to a wall or other surface.,173333,225332.90,226000
Mobility Mount | Standard 4 or 4 X,Mount,"Standard 4, Standard 4 X, Enterprise","Permanent mount for vehicles, boats and cabins: forms a watertight seal on wood, fibreglass, metal, plastic and slotted rack rails; fixed 8° tilt; for use while parked.",173333,225332.90,226000
Power Supply Mount | Standard 4 X,Mount,Standard 4 X power supply only,Bracket to fix the Standard 4 X dish power supply (the separate brick) to a wall. Not for the Standard 4 dual-port supply.,115741,150463.30,151000
"Pivot Mount | Standard 4 and 4 X, Enterprise",Mount,"Standard 4, Standard 4 X, Enterprise","For slanted, shingled roofs; swivelling head for fine adjustment of angle and direction. Kit: pivot mount, 20 routing clips, 2 lag screws, silicone sealant, sealing tape.",289333,376132.90,377000
Wall Mount | Standard 4 or 4 X,Mount,"Standard 4, Standard 4 X","Exterior wall mount that holds the dish clear of the wall and eaves. Kit: wall mount, 20 routing clips, 2 lag screws, silicone sealant.",289333,376132.90,377000
Pipe Adapter | Standard 4 or 4 X,Adapter,"Standard 4, Standard 4 X","Fits the dish to an existing metal pole of 31–63.5 mm (1.25–2.5 in) diameter; metal pipes only, not PVC; hardware included. The usual part for a pole installation.",173333,225332.90,226000
"Router 3 | Starlink V4 or V5, Mini",Router,"Standard 4, Standard 4 X, Mini, Gen 2 and Gen 3 kits","Tri-band Wi-Fi 6; coverage up to 297 m² (3,200 ft²); 2 latching Ethernet LAN ports; up to 235 devices; IP56; WPA2; 300 × 120 × 55 mm, about 1 kg; separate power supply 100–240 V; primary router or mesh node. The router shipped in the Standard 4 X kit.",636000,826800.00,827000
